ACC=0.395652, f1_macro=0.350454, precision_macro=0.394036, recall_macro=0.375748, f1_micro=0.395652, precision_micro=0.395652, recall_micro=0.395652, NMI=0.193155, ADJ_RAND_SCORE=0.123415
ACC=0.189961, f1_macro=0.184613, precision_macro=0.190141, recall_macro=0.186930, f1_micro=0.189961, precision_micro=0.189961, recall_micro=0.189961, NMI=0.003671, ADJ_RAND_SCORE=0.001261
ACC=0.256684, f1_macro=0.204191, precision_macro=0.254908, recall_macro=0.206085, f1_micro=0.256684, precision_micro=0.256684, recall_micro=0.256684, NMI=0.032106, ADJ_RAND_SCORE=0.005478
ACC=0.171344, f1_macro=0.163286, precision_macro=0.171494, recall_macro=0.175496, f1_micro=0.171344, precision_micro=0.171344, recall_micro=0.171344, NMI=0.007244, ADJ_RAND_SCORE=0.002301
ACC=0.353846, f1_macro=0.340216, precision_macro=0.354906, recall_macro=0.382205, f1_micro=0.353846, precision_micro=0.353846, recall_micro=0.353846, NMI=0.102068, ADJ_RAND_SCORE=0.049751
ACC=0.294340, f1_macro=0.254869, precision_macro=0.296137, recall_macro=0.288366, f1_micro=0.294340, precision_micro=0.294340, recall_micro=0.294340, NMI=0.047726, ADJ_RAND_SCORE=0.025007
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.260296, ADJ_RAND_SCORE=-0.000931
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.134330, ADJ_RAND_SCORE=0.005877
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.243663, ADJ_RAND_SCORE=-0.005619
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.199225, ADJ_RAND_SCORE=0.009698
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.304664, ADJ_RAND_SCORE=0.002602
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.238095, ADJ_RAND_SCORE=0.000968
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.260296, ADJ_RAND_SCORE=-0.000931
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.134330, ADJ_RAND_SCORE=0.005877
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.243663, ADJ_RAND_SCORE=-0.005619
ACC=0.000000, f1_macro=0.000000, precision_macro=0.000000, recall_macro=0.000000, f1_micro=0.000000, precision_micro=0.000000, recall_micro=0.000000, NMI=0.199225, ADJ_RAND_SCORE=0.009698
